epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,898,0.847507842791,16.1025920436,16.1025920436,0.52567,0.538739,True
1,1796,0.874865652339,21.1129589283,21.1129589283,0.453657,0.502043,True
2,2694,0.879733868093,20.3544778514,21.1129589283,0.436026,0.493826,False
3,3592,0.893902218485,29.3853540126,29.3853540126,0.455149,0.477781,True
4,4490,0.899613086093,35.3394910353,35.3394910353,0.397885,0.46094,True
5,5388,0.901462922048,37.9973745405,37.9973745405,0.433576,0.457881,True
6,6286,0.90784833424,41.6363182984,41.6363182984,0.393511,0.438261,True
7,7184,0.908100702399,47.3241862705,47.3241862705,0.377808,0.438122,True
8,8082,0.908336183203,49.1310372291,49.1310372291,0.393377,0.440387,True
9,8980,0.910135216863,46.8691978823,49.1310372291,0.375792,0.428638,False
10,9878,0.907974419736,46.1027194235,49.1310372291,0.387842,0.44221,False
11,10776,0.912294125256,48.3828810776,49.1310372291,0.373133,0.419848,False
12,11674,0.914580476526,64.5843644126,64.5843644126,0.37447,0.422608,True
13,12572,0.905339843075,41.2552153685,64.5843644126,0.387981,0.441646,False
14,13470,0.91409729804,66.6451636529,66.6451636529,0.379106,0.423951,True
15,14368,0.914648414405,68.8967309107,68.8967309107,0.366312,0.413453,True
16,15266,0.909573913571,41.9573189195,68.8967309107,0.374862,0.432212,False
17,16164,0.911420759262,55.4208373839,68.8967309107,0.372456,0.437152,False
18,17062,0.911475726641,64.1174425844,68.8967309107,0.37782,0.419509,False
19,17960,0.911930929114,51.9434915865,68.8967309107,0.371385,0.427885,False
20,18858,0.913677579243,59.8085751737,68.8967309107,0.373345,0.436348,False
21,19756,0.914395220872,67.318289718,68.8967309107,0.364486,0.41743,False
22,20654,0.910744948995,46.8216808892,68.8967309107,0.39131,0.424694,False
23,21552,0.916304280407,66.160113809,68.8967309107,0.372942,0.412897,False
24,22450,0.915972668832,62.8428266739,68.8967309107,0.360317,0.41333,False
25,23348,0.915004057697,66.7435721102,68.8967309107,0.365975,0.414072,False
26,24246,0.916602967409,69.9882600928,69.9882600928,0.364819,0.407902,True
27,25144,0.912694709897,48.0545098029,69.9882600928,0.374605,0.437551,False
28,26042,0.916813283001,71.0057331813,71.0057331813,0.363542,0.407328,True
29,26940,0.917011202044,75.1994032801,75.1994032801,0.363279,0.405945,True
30,27838,0.917344276743,77.7728172921,77.7728172921,0.357925,0.406821,True
31,28736,0.917042553504,74.037490985,77.7728172921,0.363127,0.40395,False
32,29634,0.914224411607,52.2292943273,77.7728172921,0.36554,0.418065,False
33,30532,0.917980509695,65.9688934954,77.7728172921,0.359312,0.418099,False
34,31430,0.919125778197,74.4034609949,77.7728172921,0.356124,0.400916,False
35,32328,0.91867637592,73.3697668075,77.7728172921,0.36201,0.402403,False
36,33226,0.916359346836,57.6389202084,77.7728172921,0.363852,0.40605,False
37,34124,0.917211580465,70.3573941537,77.7728172921,0.365669,0.40219,False
38,35022,0.916374318881,74.7327413721,77.7728172921,0.358771,0.402796,False
39,35920,0.917222166857,72.6952438545,77.7728172921,0.358976,0.403469,False
40,36818,0.91827368454,72.5215404128,77.7728172921,0.372569,0.407739,False
41,37716,0.916804333525,77.5806930357,77.7728172921,0.358603,0.403183,False
42,38614,0.918182424204,67.0312822423,77.7728172921,0.358573,0.402452,False
43,39512,0.916065678993,73.839909729,77.7728172921,0.361074,0.40478,False
44,40410,0.917901154098,70.2220123733,77.7728172921,0.360773,0.40079,False
45,41308,0.919325360135,78.4303897297,78.4303897297,0.360909,0.406461,True
46,42206,0.918733695421,79.1314418823,79.1314418823,0.365596,0.403889,True
47,43104,0.918893439936,77.6599453821,79.1314418823,0.35564,0.396595,False
48,44002,0.916923692244,80.6689397209,80.6689397209,0.358461,0.401932,True
49,44900,0.91075506453,66.4614171342,80.6689397209,0.385798,0.417164,False
