epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,1403,0.854078083034,16.8288210628,16.8288210628,0.488032,0.530076,True
1,2806,0.879798274287,23.3828132401,23.3828132401,0.442237,0.494628,True
2,4209,0.891065558695,26.7385621582,26.7385621582,0.413095,0.49774,True
3,5612,0.897036436204,32.7807346441,32.7807346441,0.404276,0.464457,True
4,7015,0.900820314781,34.4160347961,34.4160347961,0.398529,0.451136,True
5,8418,0.896910504522,36.23976534,36.23976534,0.404343,0.469765,True
6,9821,0.905985095651,47.6796369648,47.6796369648,0.382239,0.439347,True
7,11224,0.91039269895,53.0978726919,53.0978726919,0.404268,0.440502,True
8,12627,0.907219626317,48.4954922558,53.0978726919,0.395429,0.448702,False
9,14030,0.91243733826,57.0069468455,57.0069468455,0.372744,0.446186,True
10,15433,0.91228602339,54.7720722465,57.0069468455,0.372076,0.429309,False
11,16836,0.911613435547,55.6688203971,57.0069468455,0.399737,0.431199,False
12,18239,0.905271769097,38.6932279597,57.0069468455,0.385089,0.43395,False
13,19642,0.91276340489,61.6895197015,61.6895197015,0.366127,0.422708,True
14,21045,0.912105905893,52.8726314746,61.6895197015,0.372039,0.420807,False
15,22448,0.907860226565,41.4555175035,61.6895197015,0.37823,0.432976,False
16,23851,0.914632957701,69.9673937723,69.9673937723,0.364778,0.421391,True
17,25254,0.913200297421,61.810095886,69.9673937723,0.374364,0.41614,False
18,26657,0.915457974095,62.2212577695,69.9673937723,0.36547,0.416851,False
19,28060,0.914687842704,63.3695597048,69.9673937723,0.365796,0.412184,False
20,29463,0.914820535728,69.3713288077,69.9673937723,0.368001,0.429253,False
21,30866,0.915183859494,73.4165491083,73.4165491083,0.381458,0.422204,True
22,32269,0.914599414976,62.1661839534,73.4165491083,0.363136,0.412807,False
23,33672,0.915795845653,62.6668205422,73.4165491083,0.361882,0.414411,False
24,35075,0.917258661818,67.4284041393,73.4165491083,0.364662,0.408183,False
25,36478,0.917651320151,76.4513703173,76.4513703173,0.357739,0.412526,True
26,37881,0.912346955786,67.0388771757,76.4513703173,0.367842,0.419854,False
27,39284,0.915619650628,64.1141006855,76.4513703173,0.38034,0.410574,False
28,40687,0.9151324455,66.6780669428,76.4513703173,0.363406,0.414039,False
29,42090,0.914360308587,55.2551344786,76.4513703173,0.366821,0.41543,False
30,43493,0.917207343779,67.7006435465,76.4513703173,0.357374,0.406891,False
31,44896,0.914445726261,75.806910754,76.4513703173,0.37084,0.409789,False
32,46299,0.916855361904,67.966042822,76.4513703173,0.357888,0.402163,False
33,47702,0.916199540774,62.1787956479,76.4513703173,0.360821,0.409772,False
34,49105,0.90916200049,40.1211756107,76.4513703173,0.376047,0.423471,False
35,50508,0.915333784223,77.5869141955,77.5869141955,0.361894,0.406205,True
36,51911,0.916060679348,67.6002498419,77.5869141955,0.361842,0.404075,False
37,53314,0.914373004342,75.8347314902,77.5869141955,0.366915,0.401327,False
38,54717,0.915514708559,65.1383463973,77.5869141955,0.362905,0.409406,False
39,56120,0.916133116504,64.0664924119,77.5869141955,0.365345,0.401077,False
40,57523,0.916908316383,65.2018036284,77.5869141955,0.365865,0.400236,False
41,58926,0.916400760062,57.5118046213,77.5869141955,0.36227,0.402646,False
42,60329,0.915693348664,66.5976427674,77.5869141955,0.369285,0.40091,False
43,61732,0.91762503094,64.3921332539,77.5869141955,0.371727,0.400139,False
44,63135,0.919078853777,76.9214458711,77.5869141955,0.355173,0.39785,False
45,64538,0.917885096927,87.4858668077,87.4858668077,0.359733,0.39725,True
46,65941,0.915753044706,78.2310201977,87.4858668077,0.365182,0.399009,False
47,67344,0.91774914488,70.1209079268,87.4858668077,0.367814,0.400923,False
48,68747,0.916271694599,73.8476442537,87.4858668077,0.361521,0.398651,False
49,70150,0.915417978237,71.7879067034,87.4858668077,0.364679,0.404532,False
