epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,350,0.892056064044,26.759263789,26.759263789,0.421216,0.465499,True
1,700,0.900767251898,33.2905530919,33.2905530919,0.398959,0.450649,True
2,1050,0.908091931667,48.4772287046,48.4772287046,0.378524,0.443621,True
3,1400,0.908634411101,53.4088000217,53.4088000217,0.375471,0.427685,True
4,1750,0.911916017907,59.0362300449,59.0362300449,0.386756,0.431305,True
5,2100,0.911819408009,52.5962020693,59.0362300449,0.370957,0.421915,False
6,2450,0.913608537402,58.7973263429,59.0362300449,0.366815,0.417454,False
7,2800,0.914580260326,58.7168077776,59.0362300449,0.366155,0.418476,False
8,3150,0.915194147572,65.8543976216,65.8543976216,0.37261,0.417125,True
9,3500,0.914701864385,62.4112238247,65.8543976216,0.365007,0.416147,False
10,3850,0.915445954861,63.4034657699,65.8543976216,0.361958,0.41672,False
11,4200,0.915726860803,61.8732889719,65.8543976216,0.369074,0.41397,False
12,4550,0.916014955954,65.548714358,65.8543976216,0.363238,0.410577,False
13,4900,0.915346046368,69.1748213665,69.1748213665,0.366411,0.414242,True
14,5250,0.916724204324,70.8935874481,70.8935874481,0.359969,0.408675,True
15,5600,0.913201080557,61.3113166359,70.8935874481,0.372358,0.417358,False
16,5950,0.91588285724,67.7339569708,70.8935874481,0.368016,0.412017,False
17,6300,0.913531692733,50.8585615987,70.8935874481,0.367489,0.415896,False
18,6650,0.917339262796,74.2168029379,74.2168029379,0.36043,0.406247,True
19,7000,0.915801495336,54.0986151018,74.2168029379,0.369458,0.408521,False
20,7350,0.917404136532,67.7823451551,74.2168029379,0.357794,0.407624,False
21,7700,0.917474486144,68.7710244973,74.2168029379,0.357288,0.405911,False
22,8050,0.918169877014,67.3765025602,74.2168029379,0.356825,0.400841,False
23,8400,0.918005470952,59.9915307763,74.2168029379,0.367414,0.406853,False
24,8750,0.917758367752,70.9853332736,74.2168029379,0.357489,0.404788,False
25,9100,0.916686892728,65.8212783845,74.2168029379,0.362302,0.410619,False
26,9450,0.911716470327,40.4398635506,74.2168029379,0.370808,0.413615,False
27,9800,0.917942889459,69.971739116,74.2168029379,0.358559,0.40425,False
28,10150,0.917398566578,65.3706181276,74.2168029379,0.359978,0.403885,False
29,10500,0.917711787456,63.8451502505,74.2168029379,0.365008,0.404434,False
30,10850,0.914827400265,49.8299003995,74.2168029379,0.364396,0.410509,False
31,11200,0.919027114802,78.9370281123,78.9370281123,0.366258,0.404354,True
32,11550,0.917629164257,71.0068053508,78.9370281123,0.359055,0.40703,False
33,11900,0.916781686266,61.6070709978,78.9370281123,0.360447,0.40309,False
34,12250,0.918525234584,66.5408799846,78.9370281123,0.356638,0.401565,False
35,12600,0.917574221989,61.9311996274,78.9370281123,0.358481,0.40344,False
