epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,898,0.921869768428,81.4690163142,81.4690163142,0.349601,0.39043,True
1,1796,0.922159625901,86.1798954764,86.1798954764,0.348139,0.387275,True
2,2694,0.923075909783,93.3416409271,93.3416409271,0.345162,0.387966,True
3,3592,0.922868608933,85.2096500242,93.3416409271,0.346592,0.38745,False
4,4490,0.922127036798,82.3736175853,93.3416409271,0.348079,0.387686,False
5,5388,0.922610579738,89.7923051816,93.3416409271,0.346294,0.386501,False
6,6286,0.923030119938,84.0231905737,93.3416409271,0.34728,0.387573,False
7,7184,0.922865261298,85.7214074705,93.3416409271,0.346124,0.384993,False
8,8082,0.922746809469,89.0253433697,93.3416409271,0.346417,0.385707,False
9,8980,0.922702962869,80.0246697878,93.3416409271,0.34769,0.388187,False
10,9878,0.922860361499,83.9681789461,93.3416409271,0.345489,0.384309,False
11,10776,0.922853819711,89.2521040408,93.3416409271,0.347118,0.384728,False
12,11674,0.923032133315,89.8674100624,93.3416409271,0.346063,0.383534,False
13,12572,0.923157069705,102.207370225,102.207370225,0.345892,0.387861,True
14,13470,0.92292347348,85.089147684,102.207370225,0.345763,0.385331,False
15,14368,0.922873207835,87.0245603454,102.207370225,0.34633,0.384485,False
16,15266,0.922275017663,87.7496492875,102.207370225,0.347222,0.385715,False
17,16164,0.922756058703,89.0658661699,102.207370225,0.346191,0.383998,False
18,17062,0.922731722714,97.4292021519,102.207370225,0.345848,0.384548,False
19,17960,0.922747259267,83.0081059098,102.207370225,0.348514,0.38423,False
