epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
49,44900,0.921316151282,84.9696080072,95.1275953102,0.352083,0.388456,False
49,44900,0.921163714129,83.6516331527,95.2379439838,0.349657,0.38877,False
49,44900,0.919000708588,76.1715837398,86.3033529145,0.356668,0.392894,False
49,44900,0.917826492946,89.8073396062,93.4761221182,0.358176,0.405631,False
49,44900,0.915863366027,60.4907120905,74.9906346759,0.36102,0.416255,False
49,44900,0.921079301253,86.7041238786,86.7041238786,0.350976,0.384416,True
49,44900,0.920774138834,91.6342962235,105.360246404,0.352164,0.361434,False
99,89800,0.916195042222,70.7696463334,96.4063449888,0.360964,0.381617,False
99,89800,0.901717731846,40.8584779557,94.3306934918,0.42054,0.310359,False
99,89800,0.908715392959,51.9412549898,108.628446685,0.441724,0.31823,False
49,44900,0.919786660517,82.2572055593,105.183232843,0.357196,0.359345,False
99,89800,0.916338594815,71.2886737554,100.47221667,0.362471,0.365689,False
49,44900,0.920122877132,97.3453648231,105.640605277,0.354961,0.361635,False
