epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,898,0.906214634141,36.49777645,36.49777645,0.382661,0.452725,True
1,1796,0.911705654701,50.7425127848,50.7425127848,0.380823,0.438441,True
2,2694,0.913012521846,49.6563809178,50.7425127848,0.368682,0.418605,False
3,3592,0.914579491791,64.0411177348,64.0411177348,0.364105,0.413357,True
4,4490,0.916807903683,67.5112289816,67.5112289816,0.362432,0.407732,True
5,5388,0.917386994296,65.9965736281,67.5112289816,0.357695,0.405786,False
6,6286,0.917177706194,62.252354448,67.5112289816,0.358212,0.408468,False
7,7184,0.91811925368,69.197307141,69.197307141,0.357648,0.400503,True
8,8082,0.917919166376,63.0914238185,69.197307141,0.362269,0.414913,False
9,8980,0.918403270179,63.7383616832,69.197307141,0.35724,0.404159,False
10,9878,0.919670554533,76.8665350464,76.8665350464,0.353865,0.399618,True
11,10776,0.91828090386,66.5974161078,76.8665350464,0.36183,0.404876,False
12,11674,0.917630617413,62.1372605662,76.8665350464,0.3585,0.406478,False
13,12572,0.919559488496,72.6553210262,76.8665350464,0.353178,0.398561,False
14,13470,0.919789464412,72.7538016969,76.8665350464,0.35495,0.400256,False
15,14368,0.919517009328,68.2011131346,76.8665350464,0.35682,0.397441,False
16,15266,0.919334828898,67.03413401,76.8665350464,0.355028,0.398583,False
17,16164,0.920113992202,68.3882641154,76.8665350464,0.357119,0.403094,False
18,17062,0.919459135036,75.5043860619,76.8665350464,0.354553,0.397884,False
19,17960,0.91935023336,74.2657587104,76.8665350464,0.354584,0.399708,False
20,18858,0.918457633433,65.635789704,76.8665350464,0.355581,0.3954,False
21,19756,0.91858773337,61.6789423872,76.8665350464,0.355632,0.397982,False
22,20654,0.92053755009,74.3976506142,76.8665350464,0.350995,0.392304,False
23,21552,0.919375420225,67.4612850367,76.8665350464,0.352971,0.393529,False
24,22450,0.916935588263,53.0125823724,76.8665350464,0.361228,0.399999,False
25,23348,0.919896652618,80.7108430044,80.7108430044,0.353849,0.394825,True
26,24246,0.920989005474,69.9855443239,80.7108430044,0.351499,0.392131,False
27,25144,0.920443546913,81.7617161968,81.7617161968,0.352371,0.389245,True
28,26042,0.920449068892,75.0192539451,81.7617161968,0.352228,0.388607,False
29,26940,0.920832224403,79.8714762962,81.7617161968,0.354567,0.390909,False
30,27838,0.917242456998,74.1928461406,81.7617161968,0.357469,0.390024,False
31,28736,0.920296477256,83.0352031346,83.0352031346,0.352732,0.391218,True
32,29634,0.920991116144,72.8539999496,83.0352031346,0.354914,0.386436,False
33,30532,0.91904852329,74.7162656006,83.0352031346,0.373743,0.407247,False
34,31430,0.920656970679,86.9977865198,86.9977865198,0.350838,0.384871,True
35,32328,0.921075047904,86.1206627411,86.9977865198,0.353181,0.389327,False
36,33226,0.919846027711,92.3425051412,92.3425051412,0.353835,0.385193,True
37,34124,0.921766030671,79.5335577897,92.3425051412,0.350399,0.386607,False
38,35022,0.921702173107,78.4061778547,92.3425051412,0.354864,0.384743,False
39,35920,0.920338448621,77.5409444693,92.3425051412,0.353241,0.387297,False
40,36818,0.921141183621,81.4892697159,92.3425051412,0.349558,0.381359,False
41,37716,0.920636677493,74.0665298686,92.3425051412,0.356855,0.392586,False
42,38614,0.918207858629,63.122391468,92.3425051412,0.359198,0.398255,False
43,39512,0.919621878031,60.5858589704,92.3425051412,0.356147,0.388742,False
44,40410,0.917616994614,71.8077528753,92.3425051412,0.356963,0.386722,False
45,41308,0.920379627258,72.4264378726,92.3425051412,0.352641,0.381028,False
46,42206,0.918774336714,60.5055002325,92.3425051412,0.357669,0.385203,False
47,43104,0.922023547511,76.3227408058,92.3425051412,0.351461,0.37709,False
48,44002,0.920088425967,81.5197918291,92.3425051412,0.354229,0.378062,False
49,44900,0.921747084912,93.7429816328,93.7429816328,0.35116,0.376697,True
