epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,898,0.902825056068,34.5675469578,34.5675469578,0.395368,0.454595,True
1,1796,0.906131465376,42.8236307367,42.8236307367,0.381673,0.438953,True
2,2694,0.909993537902,48.4992245836,48.4992245836,0.37455,0.425034,True
3,3592,0.910581068426,52.0711159287,52.0711159287,0.377763,0.435602,True
4,4490,0.913826113034,61.8035922704,61.8035922704,0.36426,0.423994,True
5,5388,0.914175003883,58.1724112331,61.8035922704,0.36705,0.417757,False
6,6286,0.913974651432,57.7836052976,61.8035922704,0.364232,0.415909,False
7,7184,0.912214323574,51.6236900974,61.8035922704,0.372875,0.422339,False
8,8082,0.914589525836,59.8886769646,61.8035922704,0.364051,0.41232,False
9,8980,0.912698193976,52.3848899513,61.8035922704,0.369061,0.417051,False
10,9878,0.914626044026,57.8465710873,61.8035922704,0.365098,0.413742,False
11,10776,0.914344249084,54.1238187778,61.8035922704,0.365782,0.414615,False
12,11674,0.915227446292,64.0655448921,64.0655448921,0.363613,0.40985,True
13,12572,0.916087593228,62.2145281955,64.0655448921,0.360972,0.409585,False
14,13470,0.916651483658,66.5214411789,66.5214411789,0.359787,0.409034,True
15,14368,0.914604292383,57.3263578092,66.5214411789,0.364942,0.413081,False
16,15266,0.916715504958,68.4421747893,68.4421747893,0.359472,0.406965,True
17,16164,0.917406294062,60.6327218457,68.4421747893,0.358967,0.405473,False
18,17062,0.916936407154,63.8631977708,68.4421747893,0.358825,0.410364,False
19,17960,0.917379319904,70.131201546,70.131201546,0.360294,0.409449,True
20,18858,0.917309731251,69.347179642,70.131201546,0.360652,0.403743,False
21,19756,0.917837988036,65.8787285234,70.131201546,0.356792,0.402793,False
22,20654,0.918327840929,70.0252709216,70.131201546,0.356895,0.404704,False
23,21552,0.918435961898,67.1420623059,70.131201546,0.35944,0.405431,False
24,22450,0.918440345961,63.7336077683,70.131201546,0.355414,0.402244,False
25,23348,0.917523848269,69.5963229655,70.131201546,0.360553,0.401928,False
26,24246,0.917312694313,61.669316908,70.131201546,0.359522,0.407264,False
27,25144,0.918666170585,68.4704760823,70.131201546,0.357583,0.401743,False
28,26042,0.91820423434,68.8642436844,70.131201546,0.356334,0.402154,False
29,26940,0.918623466354,69.601789698,70.131201546,0.356126,0.399188,False
30,27838,0.918300658708,66.8141935103,70.131201546,0.355328,0.399356,False
31,28736,0.919080152791,66.2918781756,70.131201546,0.353916,0.400891,False
32,29634,0.919635784723,70.8298186202,70.8298186202,0.353623,0.395525,True
33,30532,0.918614114362,67.1507116354,70.8298186202,0.356565,0.396853,False
34,31430,0.919988941306,79.6716761634,79.6716761634,0.356682,0.396368,True
35,32328,0.918005657872,62.7327642888,79.6716761634,0.359453,0.396091,False
36,33226,0.919271147895,73.0628558351,79.6716761634,0.355527,0.400543,False
37,34124,0.91986407368,70.9828675599,79.6716761634,0.354242,0.397103,False
38,35022,0.917705987899,65.8211058048,79.6716761634,0.371058,0.405185,False
39,35920,0.919642571713,70.9663156228,79.6716761634,0.352982,0.395379,False
40,36818,0.919957886181,77.3887366364,79.6716761634,0.355463,0.39985,False
41,37716,0.919798305184,68.4082288872,79.6716761634,0.358689,0.397079,False
42,38614,0.918871704014,65.2006551213,79.6716761634,0.356464,0.394963,False
43,39512,0.919572663472,66.7345608418,79.6716761634,0.35574,0.393768,False
44,40410,0.919940597409,71.6800143507,79.6716761634,0.352372,0.397481,False
45,41308,0.919698498238,69.7440157413,79.6716761634,0.354345,0.393249,False
46,42206,0.919995853277,71.0549003366,79.6716761634,0.35463,0.390071,False
47,43104,0.920604497315,69.5820188541,79.6716761634,0.350905,0.392257,False
48,44002,0.921230111275,75.1002709349,79.6716761634,0.351406,0.390148,False
49,44900,0.919183113489,67.6548865975,79.6716761634,0.356879,0.395036,False
