epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,898,0.906977662348,38.4134400638,38.4134400638,0.385372,0.439529,True
1,1796,0.907510731245,45.4936885926,45.4936885926,0.382647,0.432485,True
2,2694,0.913486514902,60.585586721,60.585586721,0.370594,0.422669,True
3,3592,0.913521043919,59.154143181,60.585586721,0.369516,0.41901,False
4,4490,0.915995145908,65.4659799137,65.4659799137,0.362151,0.415297,True
5,5388,0.913473119174,67.1811769612,67.1811769612,0.368193,0.414096,True
6,6286,0.913679449582,63.9587403174,67.1811769612,0.364626,0.412468,False
7,7184,0.913502770415,71.9599281267,71.9599281267,0.37447,0.418543,True
8,8082,0.915710045057,63.7117410114,71.9599281267,0.361298,0.409138,False
9,8980,0.915249926269,70.3280364575,71.9599281267,0.370467,0.413114,False
10,9878,0.916869800507,64.0480802503,71.9599281267,0.362434,0.410221,False
11,10776,0.915412203946,65.2539033832,71.9599281267,0.362501,0.412606,False
12,11674,0.917689380226,73.4290603885,73.4290603885,0.358182,0.404294,True
13,12572,0.918733179595,72.6044723552,73.4290603885,0.355954,0.401477,False
14,13470,0.915863961235,72.2678760887,73.4290603885,0.360992,0.408091,False
15,14368,0.917611311327,68.7027744257,73.4290603885,0.367855,0.416357,False
16,15266,0.919691787562,72.832061402,73.4290603885,0.35282,0.401349,False
17,16164,0.919589275817,73.2274735083,73.4290603885,0.35416,0.403298,False
18,17062,0.919293369567,71.7827566972,73.4290603885,0.360804,0.402028,False
19,17960,0.918474147056,69.3043952347,73.4290603885,0.356911,0.403634,False
20,18858,0.919837215812,70.0638395608,73.4290603885,0.354073,0.398836,False
21,19756,0.9200633423,72.4944968208,73.4290603885,0.357336,0.406403,False
22,20654,0.920538307212,70.5854412948,73.4290603885,0.352824,0.394621,False
23,21552,0.919919318778,68.1108822473,73.4290603885,0.353164,0.397782,False
24,22450,0.919260767384,68.2181394578,73.4290603885,0.353369,0.395853,False
25,23348,0.918320265522,67.4911054508,73.4290603885,0.358707,0.400435,False
26,24246,0.919820658058,70.4821481479,73.4290603885,0.357056,0.396468,False
27,25144,0.921211277475,77.7032773982,77.7032773982,0.352037,0.394257,True
28,26042,0.919583852581,73.6946360411,77.7032773982,0.352733,0.396161,False
29,26940,0.92046108152,69.9420404404,77.7032773982,0.353029,0.402445,False
30,27838,0.921111629603,75.5929796064,77.7032773982,0.350588,0.389491,False
31,28736,0.92150034484,73.7010752834,77.7032773982,0.352414,0.396023,False
32,29634,0.919875925246,76.0671987611,77.7032773982,0.355526,0.395699,False
33,30532,0.919954192647,70.0943680559,77.7032773982,0.359573,0.39378,False
34,31430,0.921973481878,77.6275733381,77.7032773982,0.3485,0.389883,False
35,32328,0.918792746478,68.7466922077,77.7032773982,0.361355,0.402323,False
36,33226,0.920330761593,77.8241623959,77.8241623959,0.35137,0.38913,True
37,34124,0.920932034651,81.9716096917,81.9716096917,0.349249,0.387297,True
38,35022,0.920590546043,78.2111765289,81.9716096917,0.351093,0.386871,False
39,35920,0.920342658178,88.4643215239,88.4643215239,0.355383,0.392352,True
40,36818,0.922278658162,97.2740648669,97.2740648669,0.354789,0.38987,True
41,37716,0.921875768003,96.6088981142,97.2740648669,0.349283,0.387466,False
42,38614,0.922368209969,86.3087982437,97.2740648669,0.348123,0.38504,False
43,39512,0.920602777777,85.5103900345,97.2740648669,0.350425,0.386542,False
44,40410,0.921378261304,83.0762830561,97.2740648669,0.352045,0.397052,False
45,41308,0.921615351823,100.640839346,100.640839346,0.347609,0.386658,True
46,42206,0.922196092873,84.8862535652,100.640839346,0.362178,0.397108,False
47,43104,0.920491623067,63.820812812,100.640839346,0.350283,0.386373,False
48,44002,0.920576909813,100.950724892,100.950724892,0.366224,0.404991,True
49,44900,0.920958700035,82.1827221987,100.950724892,0.34989,0.383602,False
