epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
49,44900,0.920089134974,71.9151687453,90.5747346526,0.353947,0.386748,False
49,44900,0.918230221822,77.7821194475,80.0251767569,0.360554,0.408176,False
49,44900,0.9213179534,72.5147828356,87.2833911001,0.349967,0.386456,False
49,44900,0.919486114125,67.0182528713,93.1600171872,0.354983,0.383561,False
67,23800,0.921233932322,82.5614556615,102.313431779,0.349797,0.366427,False
64,22750,0.921501801012,84.3287714684,102.643299999,0.354383,0.368085,False
63,22400,0.921527865024,96.7476596095,100.507017221,0.351503,0.366361,False
66,23450,0.921077161386,89.4914648541,112.695492819,0.350762,0.369145,False
49,44900,0.918450959489,71.3355358721,92.2108939407,0.358713,0.389098,False
49,44900,0.92121842496,91.8172350109,91.8172350109,0.353167,0.398105,True
49,44900,0.921533845839,83.6839836028,95.5470272682,0.349237,0.382951,False
49,44900,0.918056793171,65.9164897784,78.796142015,0.358947,0.41071,False
49,44900,0.921516420918,88.2601468889,100.344773562,0.348468,0.384894,False
49,44900,0.92008747599,76.8525622806,90.7560139312,0.353044,0.388322,False
49,44900,0.915107707602,59.6799848098,80.4142826923,0.364189,0.414382,False
