epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,898,0.887030854767,24.2956671146,24.2956671146,0.421563,0.474523,True
1,1796,0.904555308861,43.9866992509,43.9866992509,0.410437,0.473085,True
2,2694,0.905745732194,39.0436693968,43.9866992509,0.385494,0.438123,False
3,3592,0.909955685378,51.1802240569,51.1802240569,0.3799,0.435683,True
4,4490,0.910646383097,46.369217302,51.1802240569,0.375499,0.424881,False
5,5388,0.910335692081,42.4356977213,51.1802240569,0.37339,0.419915,False
6,6286,0.91182632041,52.1781943777,52.1781943777,0.377397,0.421239,True
7,7184,0.910884552444,55.3235143731,55.3235143731,0.401584,0.451715,True
8,8082,0.912981337958,48.8720747944,55.3235143731,0.36822,0.411939,False
9,8980,0.914940410722,57.5107447857,57.5107447857,0.379744,0.427241,True
10,9878,0.911988214188,45.2062311864,57.5107447857,0.369751,0.411875,False
11,10776,0.914388394568,59.5058301325,59.5058301325,0.372629,0.412693,True
12,11674,0.918377947468,67.4673590054,67.4673590054,0.364746,0.404279,True
13,12572,0.916037248793,66.9414453019,67.4673590054,0.372448,0.410835,False
14,13470,0.91884981808,66.0725653396,67.4673590054,0.355546,0.393808,False
15,14368,0.916537180911,74.8217979306,74.8217979306,0.362058,0.393438,True
16,15266,0.917900552094,66.7665970627,74.8217979306,0.359971,0.391964,False
17,16164,0.918364765359,70.2094192864,74.8217979306,0.35878,0.392128,False
18,17062,0.919011480241,74.3854395913,74.8217979306,0.357429,0.390112,False
19,17960,0.918364042034,62.0171909598,74.8217979306,0.355505,0.387665,False
20,18858,0.916449925996,64.1728338948,74.8217979306,0.35995,0.393367,False
21,19756,0.916381708528,61.4517277301,74.8217979306,0.399341,0.425382,False
22,20654,0.913657713915,51.8468481811,74.8217979306,0.36697,0.396367,False
23,21552,0.912725653361,45.0180958755,74.8217979306,0.372099,0.398351,False
24,22450,0.919224099608,73.6943383335,74.8217979306,0.356689,0.385935,False
25,23348,0.918726929447,65.6085616974,74.8217979306,0.361232,0.38387,False
26,24246,0.917446920986,64.4912400242,74.8217979306,0.360184,0.387819,False
27,25144,0.915058504055,55.6624547212,74.8217979306,0.368498,0.394322,False
28,26042,0.917108037035,61.6737068583,74.8217979306,0.35867,0.385684,False
29,26940,0.918086472786,78.9948913475,78.9948913475,0.357151,0.382699,True
30,27838,0.917299286446,67.9394132491,78.9948913475,0.361195,0.37887,False
31,28736,0.915614165308,56.9837049515,78.9948913475,0.362967,0.387924,False
32,29634,0.917934509142,61.7642620376,78.9948913475,0.362728,0.385274,False
33,30532,0.917860060287,66.6846842492,78.9948913475,0.363316,0.37799,False
34,31430,0.915760107375,60.8244104666,78.9948913475,0.362805,0.385116,False
35,32328,0.915964635202,53.594922005,78.9948913475,0.366471,0.382668,False
36,33226,0.918585629848,68.0050690518,78.9948913475,0.367337,0.384369,False
37,34124,0.91677242054,63.1939149458,78.9948913475,0.36788,0.388754,False
38,35022,0.917879694063,61.3199385364,78.9948913475,0.363552,0.380185,False
39,35920,0.91605965336,60.635850298,78.9948913475,0.374539,0.388785,False
40,36818,0.916707716754,58.9045901135,78.9948913475,0.360744,0.372981,False
41,37716,0.915579340387,54.5317365873,78.9948913475,0.366392,0.384637,False
42,38614,0.91569707597,59.8923417107,78.9948913475,0.364378,0.375366,False
43,39512,0.915271788654,56.7258714139,78.9948913475,0.363926,0.377558,False
44,40410,0.9156323813,66.4173343856,78.9948913475,0.370685,0.375206,False
45,41308,0.912936092342,62.7401508935,78.9948913475,0.37991,0.388601,False
46,42206,0.913600691866,63.4765344484,78.9948913475,0.367658,0.378767,False
47,43104,0.914520379017,58.9423296592,78.9948913475,0.370955,0.381542,False
48,44002,0.91583044017,68.2343299151,78.9948913475,0.363621,0.373542,False
49,44900,0.914338073303,64.2185853751,78.9948913475,0.364762,0.37012,False
