epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,1404,0.794106533888,9.59713033212,9.59713033212,0.544632,0.579514,True
1,2808,0.81382683466,11.3477833287,11.3477833287,0.555263,0.5334,True
2,4212,0.859461188475,22.9762569814,22.9762569814,0.450804,0.47554,True
3,5616,0.859395836547,26.2431199257,26.2431199257,0.454802,0.467293,True
4,7020,0.857767253646,21.3725822705,26.2431199257,0.466851,0.471792,False
5,8424,0.865961253855,28.6392871295,28.6392871295,0.456452,0.459217,True
6,9828,0.867784156684,30.2664856542,30.2664856542,0.444736,0.458887,True
7,11232,0.869180632334,32.1033686659,32.1033686659,0.437359,0.467638,True
8,12636,0.84960978843,31.6710703716,32.1033686659,0.491351,0.473571,False
9,14040,0.872176537628,35.3880262265,35.3880262265,0.448937,0.449923,True
10,15444,0.868362322693,35.6374442898,35.6374442898,0.438941,0.454022,True
11,16848,0.87098605456,33.8482287818,35.6374442898,0.437707,0.442884,False
12,18252,0.872017372106,38.0150878059,38.0150878059,0.429132,0.440789,True
13,19656,0.870968097689,37.3397861462,38.0150878059,0.44027,0.441105,False
14,21060,0.872672808758,36.5978023236,38.0150878059,0.445456,0.436536,False
15,22464,0.865124922797,36.5555292509,38.0150878059,0.442981,0.443009,False
16,23868,0.873132942291,36.038798584,38.0150878059,0.436265,0.445324,False
17,25272,0.871970541285,41.6135388758,41.6135388758,0.430402,0.445319,True
18,26676,0.87214767446,39.8082376893,41.6135388758,0.44026,0.439051,False
19,28080,0.872059752869,39.023175869,41.6135388758,0.429139,0.436822,False
20,29484,0.877281519241,46.5053486827,46.5053486827,0.421311,0.442247,True
21,30888,0.875674079217,39.0300498802,46.5053486827,0.431005,0.435405,False
22,32292,0.877131134902,41.4646778874,46.5053486827,0.431176,0.436002,False
23,33696,0.875261158041,39.1452590043,46.5053486827,0.433217,0.43603,False
24,35100,0.868186285786,32.9782688219,46.5053486827,0.452037,0.44691,False
25,36504,0.877725215902,38.7410834113,46.5053486827,0.426604,0.437622,False
26,37908,0.874439553847,40.7358866138,46.5053486827,0.426855,0.432367,False
27,39312,0.873640230086,39.859835263,46.5053486827,0.427333,0.440064,False
28,40716,0.874561889582,34.611182168,46.5053486827,0.429365,0.43496,False
29,42120,0.875925143095,41.6919598402,46.5053486827,0.42465,0.433447,False
30,43524,0.87451762617,35.6195256753,46.5053486827,0.435309,0.431844,False
31,44928,0.87290120937,37.4866089512,46.5053486827,0.432718,0.440745,False
32,46332,0.873376683614,43.0390146384,46.5053486827,0.429677,0.429335,False
33,47736,0.878618160847,42.3102851847,46.5053486827,0.419663,0.430532,False
34,49140,0.874309203652,35.2256576297,46.5053486827,0.430328,0.429228,False
35,50544,0.875632285199,48.4765832221,48.4765832221,0.42389,0.432832,True
36,51948,0.879557290845,44.9528321649,48.4765832221,0.423722,0.431707,False
37,53352,0.874819003675,35.5768712611,48.4765832221,0.431909,0.444876,False
38,54756,0.872748117123,48.5473867437,48.5473867437,0.447655,0.435378,True
39,56160,0.871603102066,36.1053213514,48.5473867437,0.435142,0.428233,False
40,57564,0.869767681017,38.9630513016,48.5473867437,0.441657,0.430079,False
41,58968,0.877113099576,37.4787976397,48.5473867437,0.436149,0.431021,False
42,60372,0.870026093955,38.670188994,48.5473867437,0.43484,0.440122,False
43,61776,0.87748913806,46.6528983053,48.5473867437,0.428095,0.426619,False
44,63180,0.878352965347,50.1327956973,50.1327956973,0.427898,0.433435,True
45,64584,0.877485648682,43.680506607,50.1327956973,0.426901,0.433504,False
46,65988,0.876695723304,40.7591621463,50.1327956973,0.426036,0.424835,False
47,67392,0.875559276178,50.4842782916,50.4842782916,0.427525,0.426711,True
48,68796,0.874080785915,39.7567869937,50.4842782916,0.447699,0.428905,False
49,70200,0.877649743125,45.2863589618,50.4842782916,0.427309,0.428251,False
