epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,4494,0.794562410204,9.95205675317,9.95205675317,0.541212,0.567819,True
1,8988,0.784340986342,8.51680537146,9.95205675317,0.624346,0.59326,False
2,13482,0.812571519572,11.0719081714,11.0719081714,0.542972,0.549047,True
3,17976,0.810255703302,10.4769620604,11.0719081714,0.557175,0.545314,False
4,22470,0.835838169113,14.3504425235,14.3504425235,0.510401,0.52076,True
5,26964,0.84099610148,17.4483939102,17.4483939102,0.526003,0.508496,True
6,31458,0.840674218731,16.3937009577,17.4483939102,0.509876,0.524535,False
7,35952,0.845136598086,15.5425641247,17.4483939102,0.486626,0.500076,False
8,40446,0.853304588674,20.1633214006,20.1633214006,0.472249,0.484103,True
9,44940,0.840686356064,14.6341426478,20.1633214006,0.48399,0.506561,False
10,49434,0.850541222675,18.9052321229,20.1633214006,0.526993,0.495975,False
11,53928,0.85426854213,20.6799839993,20.6799839993,0.530284,0.4946,True
12,58422,0.855732496304,23.7094286021,23.7094286021,0.488556,0.479638,True
13,62916,0.858928708042,25.5748627197,25.5748627197,0.462715,0.476535,True
14,67410,0.856840112213,21.6933200671,25.5748627197,0.463468,0.518836,False
15,71904,0.861105541796,26.7431725826,26.7431725826,0.461116,0.470158,True
16,76398,0.861551683578,27.464184421,27.464184421,0.473098,0.477614,True
17,80892,0.861381823736,26.1297001163,27.464184421,0.453337,0.480877,False
18,85386,0.859148178568,23.5031302696,27.464184421,0.464805,0.472824,False
19,89880,0.847191714918,21.511574061,27.464184421,0.475914,0.550297,False
20,94374,0.863362252925,27.7861478124,27.7861478124,0.450338,0.474496,True
21,98868,0.861762068195,28.5148434001,28.5148434001,0.454024,0.481415,True
22,103362,0.860886515929,23.8920625867,28.5148434001,0.452575,0.470783,False
23,107856,0.859204239969,21.7813891015,28.5148434001,0.486464,0.477237,False
24,112350,0.865705235839,29.2729584598,29.2729584598,0.446074,0.45961,True
25,116844,0.862560422883,26.4728959402,29.2729584598,0.445016,0.467763,False
26,121338,0.857294390981,25.7980025143,29.2729584598,0.455768,0.476289,False
27,125832,0.861127909526,25.1431537743,29.2729584598,0.447679,0.469188,False
28,130326,0.862182511227,24.5385247578,29.2729584598,0.448201,0.479705,False
29,134820,0.838082807811,13.7886899271,29.2729584598,0.506668,0.518217,False
30,139314,0.862760455748,25.2531067129,29.2729584598,0.464405,0.476935,False
31,143808,0.865720816076,31.1281499868,31.1281499868,0.505979,0.47893,True
32,148302,0.865341614532,28.3232206635,31.1281499868,0.44804,0.492142,False
33,152796,0.865012475886,27.7484965525,31.1281499868,0.470245,0.462124,False
34,157290,0.865398044991,26.5544962151,31.1281499868,0.465033,0.461606,False
35,161784,0.868218952528,30.8081103715,31.1281499868,0.441142,0.458554,False
36,166278,0.86895141919,33.056629444,33.056629444,0.434539,0.45866,True
37,170772,0.867875237,28.3086920836,33.056629444,0.463398,0.463434,False
38,175266,0.859352116094,25.3231566552,33.056629444,0.481226,0.471383,False
39,179760,0.864008747871,26.8664094619,33.056629444,0.450874,0.462363,False
40,184254,0.865000025225,30.5893366405,33.056629444,0.443954,0.466133,False
41,188748,0.867692927061,26.9838534283,33.056629444,0.445998,0.454976,False
42,193242,0.868056499137,31.2168196561,33.056629444,0.43622,0.460108,False
43,197736,0.868041706212,32.0419376178,33.056629444,0.446146,0.452253,False
44,202230,0.869763712069,30.8354399614,33.056629444,0.442316,0.45812,False
45,206724,0.868228169546,28.2314093559,33.056629444,0.438282,0.46004,False
46,211218,0.866213105696,28.866522625,33.056629444,0.44036,0.463099,False
47,215712,0.863386065873,25.7985562394,33.056629444,0.452708,0.46143,False
48,220206,0.864166092793,28.9786092596,33.056629444,0.461577,0.459248,False
49,224700,0.865554016059,26.6513371723,33.056629444,0.464681,0.463749,False
