epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,1404,0.797042669602,10.2134347886,10.2134347886,0.549227,0.563715,True
1,2808,0.833316025401,15.2288993598,15.2288993598,0.513681,0.522714,True
2,4212,0.853333362554,18.379201755,18.379201755,0.462679,0.478936,True
3,5616,0.861493998805,25.2985293807,25.2985293807,0.449996,0.468772,True
4,7020,0.860935004104,29.9761897601,29.9761897601,0.482116,0.477703,True
5,8424,0.866513694789,29.6571733986,29.9761897601,0.466548,0.493248,False
6,9828,0.866688866943,29.9886058244,29.9886058244,0.441819,0.458586,True
7,11232,0.865189057161,33.9746850524,33.9746850524,0.459529,0.455863,True
8,12636,0.869904132096,34.8822909683,34.8822909683,0.436439,0.448447,True
9,14040,0.87190139277,35.8147758049,35.8147758049,0.435566,0.446108,True
10,15444,0.872572565809,35.6071935011,35.8147758049,0.430927,0.451567,False
11,16848,0.866168298314,26.1789715331,35.8147758049,0.461794,0.462761,False
12,18252,0.872181317092,39.4690747512,39.4690747512,0.438635,0.462668,True
13,19656,0.869712635816,35.7110389077,39.4690747512,0.432011,0.450948,False
14,21060,0.873432281056,35.138287966,39.4690747512,0.432332,0.445453,False
15,22464,0.872284583625,43.1875118503,43.1875118503,0.428133,0.442327,True
16,23868,0.872985922449,36.6977192746,43.1875118503,0.430021,0.451811,False
17,25272,0.867469170314,26.5631593226,43.1875118503,0.498483,0.480026,False
18,26676,0.874024514614,39.285655536,43.1875118503,0.441458,0.43756,False
19,28080,0.867618525582,35.8524337722,43.1875118503,0.452497,0.444196,False
20,29484,0.873352075114,40.1397438024,43.1875118503,0.426859,0.440232,False
21,30888,0.875488203402,45.8479792783,45.8479792783,0.426412,0.432902,True
22,32292,0.874268039583,39.3954442591,45.8479792783,0.426429,0.437097,False
23,33696,0.87210807522,40.4417165659,45.8479792783,0.432179,0.436865,False
24,35100,0.871195325758,34.8704570191,45.8479792783,0.444645,0.441782,False
25,36504,0.878889877743,46.9546487445,46.9546487445,0.42448,0.442413,True
26,37908,0.872986591833,44.0269904377,46.9546487445,0.429512,0.446915,False
27,39312,0.876576306198,48.0494407696,48.0494407696,0.430205,0.462992,True
28,40716,0.873269458693,39.2622698255,48.0494407696,0.429613,0.440786,False
29,42120,0.878457393091,43.1159795378,48.0494407696,0.422051,0.432357,False
30,43524,0.875925340587,41.9725436602,48.0494407696,0.429115,0.430309,False
31,44928,0.875231191966,43.2644302827,48.0494407696,0.43299,0.430073,False
32,46332,0.877986041564,50.1323325622,50.1323325622,0.426248,0.429404,True
33,47736,0.877073793864,47.4089916249,50.1323325622,0.422988,0.435076,False
34,49140,0.87812264196,44.4097911785,50.1323325622,0.421665,0.436681,False
35,50544,0.876401603359,34.2942298557,50.1323325622,0.428707,0.441293,False
36,51948,0.878056685003,42.5840316149,50.1323325622,0.43135,0.429575,False
37,53352,0.877646747488,46.8897648867,50.1323325622,0.42665,0.435392,False
38,54756,0.875991366891,38.6252684777,50.1323325622,0.439019,0.432205,False
39,56160,0.877885587404,49.149716859,50.1323325622,0.432924,0.430643,False
40,57564,0.875760758102,37.3557104412,50.1323325622,0.42962,0.433971,False
41,58968,0.876657247232,41.7852421129,50.1323325622,0.425948,0.429319,False
42,60372,0.879454566407,49.4323325757,50.1323325622,0.418482,0.429988,False
43,61776,0.878259491357,45.1668900917,50.1323325622,0.421444,0.426168,False
44,63180,0.878559172597,48.3441647506,50.1323325622,0.427891,0.43174,False
45,64584,0.878690059188,47.6939284655,50.1323325622,0.427029,0.426829,False
46,65988,0.878623719549,49.8016711431,50.1323325622,0.427176,0.423563,False
47,67392,0.876874631057,41.5721602967,50.1323325622,0.43704,0.431627,False
48,68796,0.875039193978,42.453021186,50.1323325622,0.427928,0.445051,False
49,70200,0.879204372958,46.9370650266,50.1323325622,0.422666,0.425186,False
