epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
0,1404,0.674454884691,3.71446689329,3.71446689329,0.63959,0.655826,True
1,2808,0.810722804119,12.8909010759,12.8909010759,0.513872,0.545823,True
2,4212,0.8372010289,18.1452776804,18.1452776804,0.483702,0.505225,True
3,5616,0.853832878404,24.4280523629,24.4280523629,0.467612,0.479856,True
4,7020,0.861529094278,28.5481917578,28.5481917578,0.46323,0.471555,True
5,8424,0.867011393019,27.9724281534,28.5481917578,0.440481,0.461495,False
6,9828,0.86964871728,32.196042264,32.196042264,0.449568,0.455149,True
7,11232,0.868982083975,31.8745620387,32.196042264,0.457991,0.47681,False
8,12636,0.872456563764,34.3187641382,34.3187641382,0.428337,0.440561,True
9,14040,0.872787942022,36.8530728885,36.8530728885,0.431692,0.439906,True
10,15444,0.874141968055,40.0946473437,40.0946473437,0.429581,0.441345,True
11,16848,0.872567075127,36.227643087,40.0946473437,0.429811,0.440204,False
12,18252,0.876511133334,37.2863490028,40.0946473437,0.427107,0.434792,False
13,19656,0.868590749779,32.8741284722,40.0946473437,0.44287,0.445109,False
14,21060,0.873977774365,37.2337319962,40.0946473437,0.426005,0.435118,False
15,22464,0.874030774465,36.2671252143,40.0946473437,0.429353,0.434878,False
16,23868,0.875447713898,43.9568559953,43.9568559953,0.427231,0.428226,True
17,25272,0.875040068791,38.9448618874,43.9568559953,0.426617,0.430333,False
18,26676,0.869871913174,31.5732390032,43.9568559953,0.448579,0.457869,False
19,28080,0.873007092437,32.6609991421,43.9568559953,0.436257,0.441985,False
20,29484,0.873688306405,40.5095822277,43.9568559953,0.429535,0.429993,False
21,30888,0.874571146862,37.0391957523,43.9568559953,0.428239,0.426375,False
22,32292,0.872343375949,39.0347694214,43.9568559953,0.42698,0.427752,False
23,33696,0.875937938513,41.2961747145,43.9568559953,0.430638,0.432567,False
24,35100,0.872022224023,37.7932141654,43.9568559953,0.429415,0.425093,False
25,36504,0.870507995481,40.6544640269,43.9568559953,0.448119,0.434655,False
26,37908,0.874156889085,35.1997947849,43.9568559953,0.43017,0.427145,False
27,39312,0.873261362239,38.5291680449,43.9568559953,0.427496,0.421849,False
28,40716,0.872365729347,35.7185754613,43.9568559953,0.432484,0.42392,False
29,42120,0.872496012381,37.9391493098,43.9568559953,0.429581,0.423871,False
30,43524,0.874385033987,34.751529352,43.9568559953,0.428702,0.422936,False
31,44928,0.867497216188,31.431787421,43.9568559953,0.443066,0.430148,False
32,46332,0.873256265017,38.3393956527,43.9568559953,0.449112,0.42903,False
33,47736,0.871877879115,36.6166894688,43.9568559953,0.431267,0.420927,False
34,49140,0.876258447073,37.6485351829,43.9568559953,0.424854,0.418567,False
35,50544,0.874228549664,37.7573989708,43.9568559953,0.429591,0.423139,False
36,51948,0.866857785561,31.8617015899,43.9568559953,0.446774,0.432326,False
37,53352,0.872909610351,36.9958569206,43.9568559953,0.433398,0.41814,False
38,54756,0.871870891848,31.3013412376,43.9568559953,0.435525,0.43156,False
39,56160,0.869892871458,34.8896591956,43.9568559953,0.447477,0.42871,False
40,57564,0.874595332724,36.5744672912,43.9568559953,0.429237,0.421298,False
41,58968,0.871827595391,38.0288026676,43.9568559953,0.432584,0.412518,False
42,60372,0.872556661529,37.1243893516,43.9568559953,0.433549,0.415156,False
43,61776,0.872582255807,40.8098974635,43.9568559953,0.430276,0.412621,False
44,63180,0.871255887085,37.2280506718,43.9568559953,0.433344,0.41603,False
45,64584,0.872347173493,32.6593684231,43.9568559953,0.436184,0.419935,False
46,65988,0.869811360863,33.3808310359,43.9568559953,0.441235,0.419992,False
47,67392,0.861992702225,25.2398400156,43.9568559953,0.458363,0.431528,False
48,68796,0.861649338157,25.293589865,43.9568559953,0.456785,0.443267,False
49,70200,0.871517664865,36.7111768604,43.9568559953,0.44095,0.414526,False
