model,epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
16-03-13_0,49,44900,0.919757713792,85.3267776152,91.6798292764,0.354934,0.385949,False
16-06-44_0,49,44900,0.905737552009,52.2486525125,86.2006995671,0.38222,0.438065,False
16-06-52_0,49,44900,0.922606886214,91.4549956047,95.8761046406,0.349627,0.381583,False
16-07-52_0,49,44900,0.922026212048,83.7869498211,97.5752659183,0.348597,0.38716,False
16-08-02_0,49,44900,0.910275186207,57.2836577395,69.7699605458,0.377307,0.417441,False
16-11-17_0,49,44900,0.919516191995,72.7809942313,82.6229296225,0.356484,0.39527,False
16-15-31_1,19,17960,0.923023624246,95.5529479427,109.301104255,0.345893,0.381149,False
16-17-30_2,19,17960,0.923770831963,98.8661377542,102.84874113,0.344664,0.380087,False
16-18-30_3,19,17960,0.922510027003,82.2534025238,90.6463649309,0.346501,0.383601,False
16-27-49_4,19,17960,0.922244219948,83.355207281,97.6835163058,0.346784,0.382184,False
16-33-37_5,19,17960,0.922291105421,93.9264091596,95.3550801683,0.346835,0.38015,False
16-45-08_6,19,17960,0.922568584015,89.1894698003,97.9006137568,0.34636,0.38221,False
19-00-19_0,49,44900,0.917136206327,64.5238902543,70.5362596637,0.366434,0.414472,False
19-00-46_0,49,44900,0.916287886912,78.3418146549,78.3418146549,0.364757,0.41242,True
19-01-16_0,49,44900,0.908587434804,62.2728069525,70.8391005265,0.388821,0.425976,False
19-01-47_0,49,44900,0.91592571788,71.8918370441,73.2721825846,0.369333,0.410958,False
19-02-06_0,49,44900,0.916702143144,69.4404992773,82.9460851505,0.359874,0.408203,False
19-02-37_0,49,44900,0.920830393304,103.154597036,103.154597036,0.35557,0.387831,True
19-03-07_0,49,44900,0.909297938967,60.5586036324,65.3278400919,0.375268,0.426556,False
19-05-57_7,19,17960,0.923027220183,89.1026810147,93.8838543016,0.347189,0.386441,False
19-05-57_8,19,17960,0.92269348186,94.2968846915,94.2968846915,0.345541,0.378987,True
19-10-44_0,49,44900,0.921292168459,79.1479094076,86.7345212802,0.352432,0.384902,False
19-11-11_0,49,44900,0.919845226959,75.2023586969,96.3391267524,0.351607,0.388433,False
19-11-41_0,49,44900,0.917453103262,72.6403632801,79.6915620308,0.358843,0.406628,False
19-12-11_0,49,44900,0.921714007834,87.0329300726,94.2940754371,0.347135,0.380965,False
22-00-44_0,49,44900,0.922317762411,75.0404478264,100.210702002,0.350797,0.379267,False
22-00-57_0,49,44900,0.918302264625,71.487958323,104.505031784,0.358091,0.388825,False
22-01-06_0,49,44900,0.918128456734,68.3530848619,97.0271667819,0.357235,0.394986,False
23-38-21_9,19,17960,0.922747259267,83.0081059098,102.207370225,0.348514,0.38423,False
23-40-08_10,19,17960,0.922204883671,88.5411298321,96.0098904525,0.34703,0.385486,False
model,epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
16-03-13_0,49,44900,0.919757713792,85.3267776152,91.6798292764,0.354934,0.385949,False
16-06-44_0,49,44900,0.905737552009,52.2486525125,86.2006995671,0.38222,0.438065,False
16-06-52_0,49,44900,0.922606886214,91.4549956047,95.8761046406,0.349627,0.381583,False
16-07-52_0,49,44900,0.922026212048,83.7869498211,97.5752659183,0.348597,0.38716,False
16-08-02_0,49,44900,0.910275186207,57.2836577395,69.7699605458,0.377307,0.417441,False
16-11-17_0,49,44900,0.919516191995,72.7809942313,82.6229296225,0.356484,0.39527,False
16-15-31_1,19,17960,0.923023624246,95.5529479427,109.301104255,0.345893,0.381149,False
16-17-30_2,19,17960,0.923770831963,98.8661377542,102.84874113,0.344664,0.380087,False
16-18-30_3,19,17960,0.922510027003,82.2534025238,90.6463649309,0.346501,0.383601,False
16-27-49_4,19,17960,0.922244219948,83.355207281,97.6835163058,0.346784,0.382184,False
16-33-37_5,19,17960,0.922291105421,93.9264091596,95.3550801683,0.346835,0.38015,False
16-45-08_6,19,17960,0.922568584015,89.1894698003,97.9006137568,0.34636,0.38221,False
19-00-19_0,49,44900,0.917136206327,64.5238902543,70.5362596637,0.366434,0.414472,False
19-00-46_0,49,44900,0.916287886912,78.3418146549,78.3418146549,0.364757,0.41242,True
19-01-16_0,49,44900,0.908587434804,62.2728069525,70.8391005265,0.388821,0.425976,False
19-01-47_0,49,44900,0.91592571788,71.8918370441,73.2721825846,0.369333,0.410958,False
19-02-06_0,49,44900,0.916702143144,69.4404992773,82.9460851505,0.359874,0.408203,False
19-02-37_0,49,44900,0.920830393304,103.154597036,103.154597036,0.35557,0.387831,True
19-03-07_0,49,44900,0.909297938967,60.5586036324,65.3278400919,0.375268,0.426556,False
19-05-57_7,19,17960,0.923027220183,89.1026810147,93.8838543016,0.347189,0.386441,False
19-05-57_8,19,17960,0.92269348186,94.2968846915,94.2968846915,0.345541,0.378987,True
19-10-44_0,49,44900,0.921292168459,79.1479094076,86.7345212802,0.352432,0.384902,False
19-11-11_0,49,44900,0.919845226959,75.2023586969,96.3391267524,0.351607,0.388433,False
19-11-41_0,49,44900,0.917453103262,72.6403632801,79.6915620308,0.358843,0.406628,False
19-12-11_0,49,44900,0.921714007834,87.0329300726,94.2940754371,0.347135,0.380965,False
22-00-44_0,49,44900,0.922317762411,75.0404478264,100.210702002,0.350797,0.379267,False
22-00-57_0,49,44900,0.918302264625,71.487958323,104.505031784,0.358091,0.388825,False
22-01-06_0,49,44900,0.918128456734,68.3530848619,97.0271667819,0.357235,0.394986,False
23-38-21_9,19,17960,0.922747259267,83.0081059098,102.207370225,0.348514,0.38423,False
23-40-08_10,19,17960,0.922204883671,88.5411298321,96.0098904525,0.34703,0.385486,False
