model,epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
Oct-30-22-47-00_0,49,44900,0.920972794314,77.5119570816,90.344056351,0.351506,0.380739,False
Oct-30-22-49-57_0,49,44900,0.921291539002,80.6027692009,96.8402151052,0.351381,0.384579,False
Oct-30-22-50-23_0,49,44900,0.920658312795,78.2377257413,99.1324719307,0.352654,0.381164,False
Oct-30-22-50-34_0,49,44900,0.920930719754,77.9438939196,90.7422848761,0.352808,0.380747,False
Oct-30-23-00-47_0,49,44900,0.920060579698,61.4662062021,97.5764757037,0.356151,0.386912,False
Oct-30-23-02-05_0,49,44900,0.919872730824,82.167087091,98.2915602914,0.353826,0.382052,False
Oct-30-23-03-15_0,49,44900,0.92029661934,81.1848456355,92.0439894524,0.352767,0.384676,False
Oct-30-23-05-34_0,49,44900,0.921577508063,76.4867263708,97.2977601668,0.35116,0.380964,False
Oct-30-23-07-25_0,49,44900,0.918395328638,70.5998042501,91.7771005739,0.355724,0.38463,False
Oct-30-23-07-38_0,49,44900,0.921257458493,73.9084534526,103.516734572,0.34991,0.377061,False
Oct-30-23-10-14_0,49,44900,0.918219564292,69.6655603293,80.3247107092,0.358604,0.406004,False
Oct-30-23-10-29_0,49,44900,0.915330043271,67.5594664194,79.8101314764,0.365468,0.409269,False
Oct-30-23-12-11_0,49,70150,0.917330987066,57.8280848072,85.2189822891,0.358828,0.379108,False
Oct-30-23-28-52_0,49,44900,0.921308867677,102.219198082,108.743782614,0.35025,0.382633,False
Oct-31-09-35-50_0,49,44900,0.919704444915,80.8634001277,103.166733165,0.352195,0.387352,False
Oct-31-09-43-17_0,25,23348,0.920271399487,100.883120666,100.883120666,0.354511,0.397111,True
Oct-31-10-14-17_0,49,44900,0.916528263616,69.2022072786,99.2230375501,0.361142,0.394336,False
Oct-31-10-14-23_0,49,44900,0.921063861831,87.599473202,101.242828721,0.356766,0.387758,False
Oct-31-10-14-34_0,49,44900,0.921469187651,84.2447902778,96.5243329155,0.353877,0.384864,False
Oct-31-10-14-43_0,49,44900,0.921747084912,93.7429816328,93.7429816328,0.35116,0.376697,True
Oct-31-10-19-27_0,49,44900,0.921218288178,93.5905734075,96.1862295086,0.348945,0.379021,False
Oct-31-10-20-46_0,49,44900,0.919271273426,83.9160592018,95.0841169688,0.354474,0.385452,False
Oct-31-11-41-58_0,49,44900,0.921738754811,87.6205733549,93.7107608932,0.353772,0.387871,False
Oct-31-11-42-08_0,49,44900,0.922543141964,85.2862302686,89.1990391285,0.346801,0.379724,False
Oct-31-11-42-15_0,49,44900,0.92081381496,63.7190335922,96.2562704884,0.352533,0.379164,False
Oct-31-11-42-32_0,49,44900,0.921611212073,93.2014821149,93.2014821149,0.349306,0.381143,True
