model,epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
Oct-31-09-15-00_0,49,44900,0.917469270043,69.1651273075,71.0896515203,0.365692,0.407194,False
Oct-31-09-18-27_0,49,44900,0.920926581115,85.2498328887,92.0642473226,0.352609,0.38516,False
Oct-31-09-18-36_0,49,44900,0.91298274303,53.8862880893,84.702652739,0.368578,0.421368,False
Oct-31-09-19-19_0,49,44900,0.916544044208,65.5324229516,79.4230363089,0.36542,0.40548,False
Oct-31-09-20-05_0,49,44900,0.919226048631,71.4839380842,77.4041277937,0.353378,0.415835,False
Oct-31-09-20-15_0,49,44900,0.920799950124,90.4733062619,92.9883322088,0.35012,0.383818,False
Oct-31-09-20-39_0,49,44900,0.91655614709,64.2591413392,87.0419497618,0.358763,0.396805,False
Oct-31-09-21-04_0,49,44900,0.919359901145,82.5339449792,99.9128795762,0.352943,0.386956,False
Oct-31-09-21-08_0,49,44900,0.920742356194,78.4155331115,100.624480476,0.350421,0.387543,False
Oct-31-09-24-57_0,49,44900,0.918514628095,57.0377754953,84.4497543235,0.358543,0.402536,False
Oct-31-09-25-05_0,49,44900,0.921552776222,90.3904048545,105.657044838,0.347637,0.388018,False
Oct-31-09-25-12_0,49,44900,0.920049795184,80.80604894,86.0965151878,0.352269,0.385946,False
Oct-31-09-41-23_0,49,44900,0.919389309849,78.0185255982,87.097060421,0.355877,0.400463,False
Oct-31-09-41-40_0,49,44900,0.909579164247,59.3234698427,61.3174083675,0.375265,0.430249,False
