model,epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
14-20-25_1,49,44900,0.912626123504,56.8431858092,68.0985645581,0.372179,0.372242,False
14-20-48_3,49,44900,0.913585918926,56.880489661,72.8617121649,0.36914,0.371545,False
14-20-48_8,49,44900,0.916152641291,69.9679592787,73.3712172058,0.366946,0.38297,False
14-20-49_2,49,44900,0.91545522052,51.1188699128,69.1931807472,0.371969,0.369393,False
14-20-49_4,49,44900,0.911804168407,51.6346182436,71.3115903251,0.374454,0.370523,False
14-20-49_5,49,44900,0.916325784161,64.8182183305,76.8373579425,0.363667,0.367851,False
14-20-49_6,49,44900,0.913728893911,57.5379357506,82.7749437222,0.370308,0.368583,False
14-20-49_7,49,44900,0.915381987488,56.1532466349,84.3068861595,0.372762,0.380216,False
14-20-49_9,49,44900,0.915102043797,62.6751246356,68.1308628029,0.365411,0.368524,False
14-21-21_10,49,44900,0.91386900477,60.8195270251,70.5711560407,0.370286,0.377533,False
14-22-25_1,49,44900,0.914007931161,47.188116443,72.0030264369,0.369408,0.371214,False
14-22-58_2,49,44900,0.913208871272,57.3002175673,71.0351055484,0.370854,0.368935,False
14-23-31_3,49,44900,0.91412437464,54.0001511679,72.1553057632,0.368601,0.365736,False
14-23-31_4,49,44900,0.913614810245,51.3338377282,71.5877705726,0.376913,0.376874,False
14-24-02_5,49,44900,0.913514749133,61.6877222038,80.2011665899,0.369723,0.374079,False
14-24-25_6,49,44900,0.913374380376,59.0423861194,77.3387219568,0.372109,0.374034,False
14-24-25_7,49,44900,0.912306479285,53.6475351252,72.9186137659,0.37532,0.377652,False
14-24-26_8,49,44900,0.913460347451,55.1285072605,64.5494362215,0.37,0.371778,False
14-24-35_10,49,44900,0.91611462613,58.7780316167,69.9156442819,0.363667,0.371296,False
14-24-35_9,49,44900,0.914801246891,58.9152289131,73.5097034588,0.367132,0.372858,False
15-46-47_0,49,44900,0.917286429547,67.5153504026,90.4830519951,0.360875,0.370009,False
15-47-09_0,49,44900,0.914338073303,64.2185853751,78.9948913475,0.364762,0.37012,False
