model,roc_auc,inv_fpr
11-44-26,0.916096136803,91.0866274048
11-44-33,0.917594783556,86.107565555
11-44-36,0.92074079448,94.2001030261
11-44-42,0.919425078242,89.2143104275
16-25-18_0,0.916437243631,78.2663598457
16-25-31_0,0.920289533069,86.4856399907
16-45-12_0,0.920954052928,92.4657830943
16-45-39_0,0.920700649179,89.6782515401
16-46-10_0,0.91764637087,87.193687061
16-46-39_0,0.919183732511,83.1003800264
19-24-48_0,0.917037579711,87.0708633668
19-25-14_0,0.917778254233,84.0591497633
19-25-45_0,0.919066402494,85.4682373253
19-26-15_0,0.920912617365,94.8691797602
22-02-15_0,0.919703010989,99.1472125805
22-02-06_0,0.919567194304,91.4352972945
15-24-56_0,0.919550063098,88.5344975306
15-25-04_0,0.914684784864,71.2242002256
15-24-36_0,0.91999411006,88.7302101963
15-21-20_0,0.919898714318,87.6187466982
15-21-37_0,0.916430353355,72.2360748764
15-24-47_0,0.919456451284,93.4139784788
15-21-12_0,0.919334291288,84.4485883619
15-22-29_0,0.915795983147,74.1766282919
15-28-52_0,0.920427757971,94.3620776675
15-16-18_0,0.920986041945,93.1148162216
15-28-40_0,0.917758044769,81.5361201895
15-15-12_0,0.920030372355,93.9373927494
15-16-03_0,0.919503586066,79.6264745232
15-15-26_0,0.918504553619,87.92860249
