model,roc_auc,inv_fpr
16-02-30_7,0.922602949246,106.199351087
16-07-11_8,0.922724813754,98.5178850868
16-10-51_9,0.923668893973,106.107548685
16-13-39_10,0.92302059056,93.1709044692
18-58-31_0,0.922002164447,98.0846620131
18-58-55_0,0.921565777362,94.8135170115
18-59-25_0,0.922953947313,102.013545077
18-59-55_0,0.92210248456,94.0130875444
16-01-32_0,0.921945687055,98.5138047121
16-01-59_0,0.923238717568,100.823829815
16-02-29_0,0.921831152489,109.746999445
16-02-59_0,0.921683286545,96.3710923712
19-17-13_0,0.923080668284,102.351957879
19-17-38_0,0.921143307201,102.699571856
19-18-09_0,0.921627612522,93.5943758952
19-18-39_0,0.920782545483,94.4817832382
15-44-53_0,0.922069920274,92.8228560892
15-41-40_0,0.921692073015,95.0558696503
15-44-43_0,0.922739164002,97.7328105919
15-45-13_0,0.922283316077,94.8491283798
15-45-01_0,0.922225184725,85.5889854787
15-41-49_0,0.921777626021,92.8640031058
21-16-31_0,0.922663192034,98.2353456573
21-16-13_0,0.920569081614,91.59620063
15-50-50_5,0.923066348948,104.267952696
15-54-31_6,0.922598359779,100.034707455
14-49-53_1,0.923000064711,96.6188966758
14-52-08_2,0.922647057791,104.055452433
14-52-08_4,0.923206784192,97.2969272094
14-52-09_3,0.922918144577,104.154702227
12-19-49_0,0.92110946678,97.4927703098
