model,roc_auc,inv_fpr
15-59-27,0.916547637662,68.0706699828
16-02-25,0.917317111577,69.1040148906
14-20-25_1,0.917197777709,78.5586954188
14-20-48_3,0.915616165234,67.8724473874
14-20-48_8,0.919686489634,68.4976408083
14-20-49_2,0.918046679094,67.4108363332
14-20-49_4,0.916674923556,69.2731703081
14-20-49_5,0.920243351137,76.8682757498
14-20-49_6,0.919748140532,73.8488678542
14-20-49_7,0.920312279776,72.6027604631
14-20-49_9,0.917573057537,72.8666295396
14-21-21_10,0.917325720225,65.0133695099
14-22-25_1,0.918947581028,76.5408342246
14-22-58_2,0.918841590344,73.730099115
14-23-31_3,0.917956946285,72.067720607
14-23-31_4,0.918836816664,75.5352698476
14-24-02_5,0.918293756379,68.4635522755
14-24-25_6,0.91718071191,71.1610859692
14-24-25_7,0.918742423559,72.9494128067
14-24-26_8,0.917683137533,64.9968792456
14-24-35_10,0.917830386562,73.1268250803
14-24-35_9,0.91724835543,70.3792579102
19-21-38_0,0.919664642605,72.2441791372
19-22-04_0,0.919088488711,73.9281041711
19-22-34_0,0.917123425466,70.2853270973
19-23-03_0,0.918514205511,70.5618823256
19-23-09_0,0.919180744238,75.8013050686
15-46-47_0,0.919006879781,76.1719184491
15-47-09_0,0.91848901387,78.6981407438
15-47-23_0,0.916345171182,64.0115942359
