model,roc_auc,inv_fpr
16-09-59_0,0.910590927398,63.1998638398
16-10-11_0,0.916893221887,70.4415314902
16-12-14_0,0.917105634905,65.6961810065
16-13-15_0,0.912589709465,60.7328247144
16-13-27_0,0.912457189613,59.7142056787
23-55-20_0,0.913013875581,56.1708382952
23-52-01_0,0.920648958909,84.5590619457
23-52-08_0,0.909476111305,61.7799978354
23-55-28_0,0.913264983318,61.526034511
23-35-58_0,0.917287960552,78.9469822516
23-35-42_0,0.916030648037,71.0078600048
23-53-00_0,0.917206599379,75.1247445503
23-53-11_0,0.916648574993,72.897537779
22-22-08_0,0.914350787915,60.906601816
22-21-59_0,0.917529843812,74.4363763649
22-22-15_0,0.918031076003,71.6037302349
22-22-27_0,0.913065205339,66.8209215904
22-03-35_0,0.920942651357,85.8054706761
22-03-58_0,0.920518824084,84.4895272329
22-03-44_0,0.915542515317,69.3122774567
09-58-06_0,0.920012719588,80.6980789955
09-58-11_0,0.915667434828,67.7603711369
09-58-18_0,0.920592371501,82.7169082357
09-58-33_0,0.914080822543,63.3969508266
10-00-20_0,0.916626647976,64.9112061086
10-02-24_0,0.912899216848,69.8019034316
10-02-32_0,0.9150452625,61.7632408117
10-02-37_0,0.907555697228,52.666298334
10-02-43_0,0.911193801479,59.8116594562
Oct-30-23-09-06_0,0.915978143165,68.7433009386
